,Question,Answer
0,Where was Aelyx born?,'Dragonstone
1,Who was the firstborn son of Lord Aerys Targaryen?,'Aelyx
2,Who was the brother of Baelon and Daemion Targaryen?,"'He was the brother of Baelon and Daemion Targaryen, both of whom ruled as Lords of Dragonstone."
3,Who ruled as Lords of Dragonstone?,'Baelon and Daemion Targaryen
4,Who did Aelyx die before?,'his father
5,There are no records of who ruled over the island?,'Aelyx
6,What is the name of the person who died before his father?,'Aelyx
7,Who was Aegon's father?,'Lord Gaemon Targaryen
8,What stone was his father's name?,'dragonstone
9,Who was his sister?,'Daenys
10,What was Elaena's sister's name?,'Elaena
11,What was the title of Lord of Dragonstone?,"'married to his own sister, Elaena"
12,Where did Aenar relocate his family after his daughter had a prophetic dream that foretold Valyria's destruction?,'Dragonstone
13,How many dragons did Balerion bring with him?,'five
14,Why was Aenar stripped of his ancestral home and titles?,"'Because of this, Aenar was stripped of his ancestral home and titles, and known as a coward"
15,What was he known as within Valyria?,'coward
16,House Targaryen became one of the last few houses of Valyria after what event?,'the Doom
17,Houses Velaryon and Celtigar were the last houses of what period?,'Valyria
18,Who were the only ones who owned dragons?,'The Targaryens
19,Who owned the only dragon?,'The Targaryens
20,Who succeeded Aenar?,'Gaemon
21,What was Gaemon's name?,'Aenar
22,Where was Aerys born?,'Dragonstone
23,What was the name of the son of Lord Aegon Targaryen?,'Aerys
24,"Who was the father of Aelyx, Baelon, and Daemion Targaryen?","'He was the father of Aelyx, Baelon, and Daemion Targaryen, and the great grandfather"
25,Who was Visenya's great grandfather?,'Daemion Targaryen
26,Who was the last monarch of the Kingdom of the Storm?,'Lady Argella Durrandon
27,When did Lady Argella Durrandon rule as Storm Queen?,'after her father Argilac's death at the Last Storm
28,When did Durrandon marry Orys Baratheon?,'after her death
29,What line was officially extinct after her death?,'Durrandon line
30,"House Baratheon is a half-Andal, half-Valyrian family of what?",'half-Andal
31,Where was Argella born?,'Storm's End
32,What is the capital of the Kingdom of the Storm?,'Storm's End
33,Who ruled the Kingdom of the Isles and the Rivers?,'House Hoare
34,What was more of a threat during the reign of House Hoare?,'the Kingdom of the Isles and the Rivers
35,Argilac wanted to use House Targaryen as what?,'a shield
36,Argella married off to who?,'Lord Aegon Targaryen
37,Who did Aegon propose to marry?,'Argella
38,Who was the rumored half-brother of Orys Baratheon?,"'bastard half-brother, Orys Baratheon"
39,Who cut off Aegon's envoy's hands and sent them back to him in a box?,'Argilac
40,Where did Aegon land?,'at the mouth of the Blackwater Rush
41,Where does King's Landing stand today?,'Blackwater Rush
42,What was the final battle of the conquest of the Durrandon lands known as?,'the Last Storm
43,Who slain King Argilac?,'Orys
44,Who was the only Durrandon left at Storm's End?,'Argella
45,Who was crowned the new Storm Queen?,'Argella
46,When did the Targaryen-Baratheon host approach Storm's End?,'they surrended instantly
47,Most of the Durrandon army had been wiped out at what event?,'the Last Storm
48,Who ordered that the Storm's End garrison fight to the last man?,'Argella
49,Where did the men-at-arms capture Argella?,'Storm's End
50,Whose war camp did argella go to?,'Orys Baratheon
51,"Orys removed the chains with his own hands, cloaked her and fed her?","'Orys removed the chains with his own hands, cloaked her, and fed her."
52,What did he tell her about her father's courage in battle and death?,'gently and politely
53,Who would Orys marry?,'Argella
54,Who would Argella become the Lord of Storm's End and Lord Paramount of the Stormlands?,'Orys
55,How many sons did Orys have?,'two
56,Who was the last Storm King to rule over the Riverlands?,'Arrec
57,Who was Arrec's ancestor?,'Arlan III Durrandon
58,Who used the mobility of the Ironborn longships to defeat the Stormlanders?,'King Harwyn Hoare
59,What was Arrec's greatest defeat?,'Battle at Fairmarket
60,How many times did he try to cross the Blackwater Rush and take back his lands?,'twice
61,What was Durrandon's eldest son's name?,'Arlan V Durrandon
62,Where was Baelon born?,'Dragonstone
63,Whose father was he?,'Lord Aerys Targaryen
64,What was the name of his father?,'Lord Aerys Targaryen
